p cnf 70 343
 39 -32 -56 0
36 38 -47 0
57 -22 -15 0
-1 61 55 0
6 -14 18 0
-16 -38 -55 0
66 7 4 0
-38 16 40 0
24 -47 64 0
36 -13 -52 0
-9 -24 51 0
42 48 -14 0
15 -22 24 0
-19 -37 -64 0
-20 55 -28 0
61 -51 7 0
-46 5 55 0
53 -41 36 0
23 -16 54 0
62 -20 15 0
13 58 -3 0
26 -65 -45 0
-19 27 37 0
-2 -51 -50 0
-1 -48 -69 0
23 15 -49 0
66 -45 58 0
-33 -68 59 0
28 44 -62 0
-52 15 21 0
36 -32 8 0
-1 48 -1 0
-15 41 36 0
-9 -63 -52 0
-43 41 10 0
1 -46 51 0
29 -56 6 0
68 -54 55 0
37 -60 -2 0
9 24 -32 0
37 7 -14 0
-46 -38 49 0
-65 54 -66 0
-59 -43 27 0
52 64 -30 0
-50 -44 -48 0
56 27 19 0
41 68 -59 0
23 21 33 0
-32 -58 2 0
-28 40 51 0
-56 9 -59 0
-6 4 54 0
54 -33 -36 0
-24 14 25 0
28 54 -8 0
8 -15 23 0
13 56 62 0
-55 48 38 0
14 -44 -28 0
69 1 20 0
41 30 -63 0
-50 24 -57 0
31 62 22 0
-34 60 54 0
-66 -23 -40 0
32 -15 19 0
-12 -48 -1 0
-18 -48 1 0
-2 48 4 0
-59 -23 -64 0
6 67 -11 0
39 40 33 0
14 45 -66 0
-40 -5 28 0
-67 56 -51 0
-34 -36 -35 0
-29 -23 -27 0
-5 70 23 0
50 48 35 0
30 -8 -12 0
48 -22 -2 0
70 19 -10 0
15 9 -61 0
53 -54 -41 0
-43 9 -63 0
21 -61 -2 0
10 63 6 0
-10 9 19 0
64 9 -1 0
-10 -62 64 0
-48 62 -63 0
31 19 -43 0
-46 61 65 0
-29 -25 -13 0
-67 -31 -57 0
38 -58 46 0
-37 -10 -68 0
43 -17 -30 0
-44 -10 -1 0
49 -59 -70 0
-13 11 -48 0
8 -53 49 0
46 -18 37 0
-47 -18 28 0
-6 48 -4 0
-66 -15 63 0
-2 5 58 0
1 -51 50 0
50 -22 -41 0
23 -70 11 0
-4 60 27 0
-70 -24 29 0
-9 70 -10 0
7 -1 47 0
-26 -65 22 0
-55 -44 61 0
41 14 -37 0
27 8 -5 0
-16 34 -2 0
2 -63 -56 0
52 -19 -9 0
46 -29 13 0
3 2 -33 0
-2 21 -25 0
-60 4 49 0
6 23 31 0
12 5 47 0
50 15 14 0
24 19 -41 0
-9 2 -52 0
70 -42 1 0
43 67 -35 0
-32 -66 61 0
66 1 -27 0
-3 28 -35 0
-53 4 38 0
-4 1 9 0
-10 42 15 0
3 9 -30 0
36 -55 27 0
-67 69 61 0
44 18 12 0
17 70 -52 0
-15 -10 23 0
36 -4 63 0
-10 62 -70 0
19 -26 -9 0
-41 -48 22 0
67 64 7 0
-1 -34 36 0
-69 62 16 0
-61 55 50 0
-40 45 -15 0
1 -14 -42 0
-34 45 32 0
-23 21 70 0
62 -69 10 0
-64 28 59 0
42 10 -19 0
6 -45 -37 0
-45 61 10 0
69 -11 12 0
-17 36 -29 0
6 -65 -51 0
-16 -3 -33 0
-42 -8 57 0
69 -40 -16 0
7 -60 -24 0
-2 65 36 0
-40 29 -35 0
-68 48 -6 0
-54 19 -17 0
58 -31 44 0
53 -67 17 0
46 9 -59 0
4 -23 -39 0
61 25 6 0
61 3 -60 0
-56 -61 41 0
28 -45 18 0
-2 -53 -20 0
28 -47 15 0
-62 -34 -37 0
-21 -43 30 0
1 69 -23 0
-36 -7 25 0
-45 24 58 0
-19 -65 56 0
-11 -20 55 0
68 -54 -6 0
41 65 2 0
-65 -35 70 0
-68 -9 -16 0
-2 9 -13 0
-60 23 52 0
-42 -43 -24 0
-56 52 19 0
2 18 -65 0
25 22 39 0
27 1 -13 0
-1 -54 22 0
-36 -57 -53 0
-4 9 1 0
55 49 -28 0
-40 -30 -43 0
-31 54 51 0
